Total supply:  1000
############## Round 0 ##############
Account: 0x082418B63181bdc2B7194a6601CfDf9f3d2Fa3Bb, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1891831078169511800, Bid count: 0
Account: 0x19AF862C40a8D20260a0b07b4b84c6aC3f7109Ce, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1895398320610045300, Bid count: 0
Account: 0xC8E8bD8b42A1B5598b616044496a7BdA5Ea24adA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3227585881960312000, Bid count: 0
Account: 0xe06478A99Be86601Ee017152aE0F173c3bE30858, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1956137824808394500, Bid count: 0
Account: 0x747411f7024Ad856E0975BC183aE1E43Bcea18A8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3463301946878666000, Bid count: 0
Account: 0xd485c8A5Ba12F325D7443d19312f6b4440C6F9B3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2002361389432840700, Bid count: 0
Account: 0x054De1B3b42d30e5B0619e89b4a31ec5F832d724, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2583991001319603700, Bid count: 0
Account: 0x4722EB699B3718E21C58778674782D4A3b112529, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4216268821666922000, Bid count: 0
Account: 0xe81648729726d34013ae566beaf22e998e6efF60, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1580530911532212800, Bid count: 0
Account: 0x9d8C930D3Fa931DE8Abf3274dD6b6f114500b89f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1608414604164149200, Bid count: 0
Account: 0x92D01DAe28Ad05612fD92b7289197c55cf08f587, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1775369435540483700, Bid count: 0
Account: 0x3715D11981492052693Bca180b44B40046D7406b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 5090688938876511000, Bid count: 0
Account: 0xb669c092Ba9c4f0129287dEAC0B8070a4b010178, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2502005002015967000, Bid count: 0
Account: 0x56631B6E60026f3c72B13117369B8fbbF1515B3b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1338661383128501500, Bid count: 0
Account: 0x334B84D25BC64F3a4374E84E8AdFE175F20bb10D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4614263546926360000, Bid count: 0
Account: 0x4a3d5C7B5131425f992538758c1F93E661B725E9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1430894507147881400, Bid count: 0
Account: 0x2bAeC497F1Ffb1b625dC2E270A94824A93bcf515, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2987086471322937700, Bid count: 0
Account: 0x1231D2aD2dC0B9e2F70f5b9aeaba8b8a22855D93, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2057262980825725200, Bid count: 0
Account: 0x06652Ab50398Ab9353FB4eC56D13f18681C8b5B4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1683871382803816500, Bid count: 0
Account: 0x73f48D80Be09e6bc47ee4Ddb10ECbA13f9d64ACa, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1753356026498600000, Bid count: 0
Account: 0xD6107E3F7f904c627d4f94A149f82BAe79d3Dda2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1636065261536451500, Bid count: 0
Account: 0xaBf3493b3Fe3A1D31d4bEb482dAea5560A8a414D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2316150483311865600, Bid count: 0
Account: 0x6EDA437aEA9d039Ea348488F9Baf1Ff8B710C148, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1799438969323227300, Bid count: 0
Account: 0x2D58AdC99B0B3E378E2C944b93a4fE1fd0a0F9c5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2500593783660178400, Bid count: 0
Account: 0x1920c5EeC03dEebE67E33E978dCf8f56850164c8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3337845422666780400, Bid count: 0
Account: 0x9727286fdFC835B6d12EdB01aBc2903CDB54e827, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1777698159206582600, Bid count: 0
Account: 0xED0ceC935c6EDf8395c70c8C53d498Fe32E3f408, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1504416801977872300, Bid count: 0
Account: 0x021B8cB09f3FFCca1306E16E59Cfe621e3b5386B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4894659042642905000, Bid count: 0
Account: 0x7914d1392C873346583B70CfA39564cEd1A6c330, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1776548978389568500, Bid count: 0
Account: 0xA4fD96e5cdC158A24d6EB9D2A23be9261e209770, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3595880295622266400, Bid count: 0
Account: 0x9766EB6e245ED7c810dE186Ef5AE3869a0d3b339, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2612202300983335500, Bid count: 0
Account: 0x0A498eDB2Dd762F0407BA8A679731a987A5fbB54, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2801569565996259000, Bid count: 0
Account: 0xf1e9EdFa0C9F14f94cC1e6dC647DFa03b5124490, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4354278670490894000, Bid count: 0
Account: 0xDDff752FAa6adaAf4C4e0daFE1111c40bc5bd982, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1894063689542560900, Bid count: 0
Account: 0x65748C6649491C577c816Fd781fd2E8Be25a4955, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2202678940223649700, Bid count: 0
Account: 0x8B3208CB6e5B12420E292458C387DE00737ABA67, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3312142288534329000, Bid count: 0
Account: 0xF8930E5c83E07bC79DE94290938E112E6172bc9F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2848769984125795000, Bid count: 0
Account: 0xc079eBBB80D4Fb115A69B3e82126C1e2a7c2c2e1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2226241049162758000, Bid count: 0
Account: 0x37dda5B169b596550366Dc8fcB51f87ce430c075, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1283318457045173400, Bid count: 0
Account: 0x1f1a86217deDfF4E26cFd7A8fABBDbf77325d590, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2252238281723349000, Bid count: 0
Account: 0x5208D09fC2dcDC8Cc6777b197204C8f2A94D21d5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2820977568127934000, Bid count: 0
Account: 0xE53E9812b6e97622CAc14EA3E300ED66886555a6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3767578988766325600, Bid count: 0
Account: 0xac8d7884E51B8FE3678D89994Bf58c89Ee2bC2eB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2779702467127082000, Bid count: 0
Account: 0x2a0761895f16cf1Ca2ccE4814887e71576755E1b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 6412580021813344000, Bid count: 0
Account: 0x9F82149933D74b2CC196B7C877E3B635b9302Da0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2758213910024894000, Bid count: 0
Account: 0x07f05AC6B01Ba68Df724bb23a4eAF5628944D274, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3070424881684900000, Bid count: 0
Account: 0x1a7fEDE470759f7E6571b6203A883bf67BfE6bfd, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3369690721358591400, Bid count: 0
Account: 0x78A0bc1aC10ffBDE94beeDB03004011C4A70F0A7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3319309613571776600, Bid count: 0
Account: 0x903E3905141A8f355Ad95515b53BCAc54E216409, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1747797699938897300, Bid count: 0
Account: 0xDcc70a2D2c930030D6216Be22AeF834B3Fa9CF32, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2806842324423444000, Bid count: 0
Account: 0xF93fCCdd9d7253f58609226faF1f459b80faecb0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1942288476567512100, Bid count: 0
Account: 0xdf93203480DE99559Fe09404977A3a779C517Cc6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2268249104563332000, Bid count: 0
Account: 0x32bF3eE88Cb0c4e6bE1ED1D337Cd73F49d12cAb4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4488576529341858000, Bid count: 0
Account: 0xfb7bC7f63C3bc5d45E2F70ba3E0e7994bC12a5B2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1758159781966570000, Bid count: 0
Account: 0xEdBc2dc77A1a04d964753Ec983340D032e6bDca7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3298073283747449600, Bid count: 0
Account: 0x71A95c9eFB02EABacb6B89284Fb181B999522ACA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2761698570505294500, Bid count: 0
Account: 0xb817CC5AfAF71473251afD76527c664F2B7dD51D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3219215173737860700, Bid count: 0
Account: 0x9bd40B795f7653136147c237ea29a87c0ea157C0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4133912476504345000, Bid count: 0
Account: 0x458757c44228E9a2B0ccf8b364d022fAA3fC53A6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3872707864628485400, Bid count: 0
Account: 0x2d2704db7b4919BB8c37ED3808725E900dAA6dA8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2138643051752201700, Bid count: 0
Account: 0xD015E8c6E7021E3f8C9A76fc35a54A14642e9D3c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2251691667626733600, Bid count: 0
Account: 0xC6CB861E58FdBaF293a06701e26754F8BC2C3da8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2303722918072831600, Bid count: 0
Account: 0xfe1bc0aB941bCa0ae0C89875062697A4399ED6Ec, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3341639755323019000, Bid count: 0
Account: 0x454CB3f16B1C11651ba702C1585A0C5F7271f21c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4456767819681556000, Bid count: 0
Account: 0x0966c1A780AAaCCCa86979C5385A949988521154, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2750929660883151000, Bid count: 0
Account: 0xDA5856D12C1C44d56E7998CF33986516297b8537, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1946376133428135800, Bid count: 0
Account: 0x4082a4e52DB99297d905626FE1A0Ec6C8A2b1E2d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3557434369174467000, Bid count: 0
Account: 0xFEae596087E08A2bCF32c3122BB695B577ef23a5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2493403508549907000, Bid count: 0
Account: 0x6F74BCCF0945BB491FE597cac600D5467CCA53a6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2622921334956928300, Bid count: 0
Account: 0x4Ba845b9Fbd484989C49353a127Bf8942247046a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3865438203194577000, Bid count: 0
Account: 0xb2a17F956BC2393D403d2fcaB2eBffb4349A0531, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2125532064320191600, Bid count: 0
Account: 0x2fd4383F6942CC59115B1fC46E9a201a51248E1C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1773545775712176900, Bid count: 0
Account: 0xB9cA1fB5513f419128397196A45f717D2a51CfE2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2664285937235588300, Bid count: 0
Account: 0x8eF6FC04229CDc0783E9420E74347F6c2e0E3c52, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2086708265423973300, Bid count: 0
Account: 0xF808C4B2e61E0C67cA71Aae14DeD77f6b3E253AE, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2552847838267234000, Bid count: 0
Account: 0xbEFc942F0f641BAc6a285A7E87EffBd1360E3A48, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3498428045631058000, Bid count: 0
