Total supply:  1000
############## Round 0 ##############
Account: 0xE3c90C9E7938528d7C25e281133Fb2273882091F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1744790044132122200, Bid count: 0
Account: 0xC4D42a20c7A3bFFC7eA2573b614CD4d0e87245CE, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2164953651961876600, Bid count: 0
Account: 0xaeC2024D1acCe227E680239df4462f56445C9590, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3097710483032751800, Bid count: 0
Account: 0xAb3c93099Be28280aD02185B18aDE90270470872, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3115179547761580500, Bid count: 0
Account: 0x7bc43B067a6add708c22096d9D70595318C7Bbf3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2335985232287661000, Bid count: 0
Account: 0x95D9E2723404c5DDf5FF2DF4B0C0201Ba4Ac34dA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2666608433414814300, Bid count: 0
Account: 0xa740912Ef04C272D34baBe015862507F8C8b239e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2753799721799947000, Bid count: 0
Account: 0xe3D813fDC13eb2A48fdaCeA9F08fA65F3899e4A1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2446118180580113800, Bid count: 0
Account: 0xdc994560A22A8F673390934B88083BF7F5D83568, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2875659291688057500, Bid count: 0
Account: 0x44536e57298ff06C77B0Fbb430D0AcD3845075C0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2285601899018562000, Bid count: 0
Account: 0xa554b11F152c3ec0e3C0a0dCC1c9e302986E54Aa, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2658815336131951000, Bid count: 0
Account: 0xb76009ec20aB6E02d576662A463132cF36E22009, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2711312683126183600, Bid count: 0
Account: 0xc2ed4E03063746185aAAa5491d95778517fB0408, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3199325415201003000, Bid count: 0
Account: 0xb76124549c81E74B5efad25DAd9Ae11dc788835C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2783145759492816400, Bid count: 0
Account: 0xB11bf50635Ba00Bf2C1f8848d08C45f1f7c1fb52, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3019565720703952600, Bid count: 0
Account: 0x716acCbC44277D3C7a5560E4499E570dce18C115, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2229456287272181000, Bid count: 0
Account: 0x10e4b6f6d8e909B035eF58179F5d51a6038aAD58, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2100258454051592000, Bid count: 0
Account: 0x3fB9B0d4Ed3CF04362a3f0Ba52aEe59a23BD460D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3320833011744846400, Bid count: 0
Account: 0x2f6917dcdb5dCC582B0e1fD55B12a9C23fBD521A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2262514889366374700, Bid count: 0
Account: 0x093e018c5c3c801Cf68F51006fcFCa37b62a31A2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1291502106356526600, Bid count: 0
Account: 0x4fd123cdD4f36F70b9a68F68B70657a8059bd9E6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1491615058010439700, Bid count: 0
