Total supply:  1000
############## Round 0 ##############
Account: 0x54A15FcBF3991437E720352510fFEa8203E6C3BD, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2828068556738679600, Bid count: 0
Account: 0x7dE5dc1Ea5c457af3d650F60b391422b80365352, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4962975415256064000, Bid count: 0
Account: 0x89c4Ec95f3194A07c8AbD47D728713B308126158, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2037229175337671400, Bid count: 0
Account: 0xA9aca7E0529806C52304DD70E45DA739280104bD, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1760651212696941100, Bid count: 0
Account: 0xDC5fEca6ad775cB53cA4bDA34ca32207A2129ee1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3359436399834394000, Bid count: 0
Account: 0x62756B3A612B7700C39Ba6A4A8A3b81756800442, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2240998018305152300, Bid count: 0
Account: 0x5450b7A2a3c346bA19be6E590cB06B7a01819663, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1388264734125668600, Bid count: 0
Account: 0x3E77634Ea66ad46a15f171e740caa37B1F91a33B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1929682396589690000, Bid count: 0
Account: 0x92906B991FbFf2D89455CB4A5d03D9c770922B04, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2533933011750414600, Bid count: 0
Account: 0x69C80344225aD2b218BFC9F001fA3D92b6b00770, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3513868052626692800, Bid count: 0
Account: 0xB663B39876dCDD9c275981D6B56226B7fCb1419e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2290112011772025000, Bid count: 0
Account: 0xf15cABFc560f2A1969b092ABB25916fb29e03534, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2767089960270645000, Bid count: 0
Account: 0xe270cBfCc880a5f61E6C72cDb92e21b3FB786e7e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1560798145737618300, Bid count: 0
Account: 0x44f6994C03647c3a70b970B20E06C8EE9Eb6046e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2102041538802871500, Bid count: 0
Account: 0x767620CB4994b3bc12d8935b521541480c0CcD55, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2925615441951274300, Bid count: 0
Account: 0x797bb1A59eD502909E79bd088c6B239b1baAaB1a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1250387940922581000, Bid count: 0
Account: 0x66BB20d46c8c8B10CCa236d2eB7E6214cbb21681, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2588568642849127000, Bid count: 0
Account: 0xfB94CA27e9099339d1bB7faB14C50f4600A1f8BF, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3941885152689125400, Bid count: 0
Account: 0xab29b613Ee5Ac21C093861538158cF4f33cD2416, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3108912459831436000, Bid count: 0
Account: 0x564C0068e2817C79e1d4562be559Fdc09e83231f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1933935987671128000, Bid count: 0
Account: 0x23Eece50915769880b15E2dC329d620F3f24A3eC, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1715616616198540400, Bid count: 0
Account: 0x2f9D09373fAF3ac21cF8317C57ee62064A9CED8E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3376519785154715000, Bid count: 0
Account: 0x77188071a564846a7b25D512340CBc41D5Ce469D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1975171081221296000, Bid count: 0
Account: 0x48b2be1a2964B479f4c2d6B226C6ba241Ae0231c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1986598762893809300, Bid count: 0
Account: 0xfB1D843330451F7173BB7d53Dd2f278eeB37ac1d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2762696619951049000, Bid count: 0
Account: 0x5A1c577af6CC8Cc5470DDE16dD34AbC091e80c0E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2230277983053668000, Bid count: 0
Account: 0x3B940165FeD8994E9DF27c595184fD3fEb0f9580, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3521875303203611000, Bid count: 0
Account: 0xaF61DBB86037306e385686c4B4b595305a0039f7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1614793815693947600, Bid count: 0
Account: 0x711A73B3A6df54F9852598597810bbD211492fD8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2607063845904779200, Bid count: 0
Account: 0xda8e72936722a7E9f47f5B0B0b5BcB52266554E1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2688349469321355700, Bid count: 0
Account: 0xfc5Ba371a909bAC5B1F284a0E2e31d163c43447c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3131290383661008000, Bid count: 0
Account: 0x0AD244641ea585911E99b13b05ef69B24144F330, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1783685454163090900, Bid count: 0
Account: 0xd70F9183093f2d466F5621bD75DB50D2ef6F4823, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2607654520165775000, Bid count: 0
Account: 0xc45C3Ae8c2e023e6a94EF5b73fd710440203eC3f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1781389967865046700, Bid count: 0
Account: 0x04679543574290e738a467F31ec70EF8178514b2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3752362878487102400, Bid count: 0
Account: 0x0506FCCb1ef6D69ca4e85091B856a38F93eCf21c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2253151330102490600, Bid count: 0
Account: 0xAF901423D3fB783901b9bC194C395226fDDAEc8a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1272176633838192600, Bid count: 0
Account: 0xEA7D2Fab2403CDBF04EDf09B4D54E85f8d4B2a2c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3025685827324184500, Bid count: 0
Account: 0xD0E3D4a39d561dF8E6891B9B5670C15E498DA550, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1701513927825026400, Bid count: 0
Account: 0xc8f990d3EF867547eEB7D69530A96B8423B042F7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3244040559115999300, Bid count: 0
Account: 0xe47B4e35E42ff469255CDe69DE879D1B6cC22587, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2718674874368808000, Bid count: 0
Account: 0xEA6B1236Df0354aed21599906DdAfe697BfE6605, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2436913980822981600, Bid count: 0
Account: 0xcBb5D3245C1a2FbA0432Dc1Eea174b9255258242, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3760988642364093200, Bid count: 0
Account: 0x98b7384dE673F8bB047bA4012a696A0B5b510EE0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2370150048830327000, Bid count: 0
Account: 0x33299Bf94f1624d6f6Ad2eFc33a4D8195c3eFd2E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3430161286843268000, Bid count: 0
Account: 0xCeD4bf493bbe00Aa8797d3D2837e2fA478705992, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1853431473824361000, Bid count: 0
Account: 0x84bCA6CAd786BC9B89C655530a976Ef87d2a7b64, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3118579757393568700, Bid count: 0
Account: 0x6403FaE3b08F314aF7309ccd24f6E5A25A9948dE, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2295322220884299000, Bid count: 0
Account: 0x032aC4509137E3358F8a37FE3b6DD33bD6AA7b43, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2220238196422795500, Bid count: 0
Account: 0xCe9613fcB7Ff69766dEB02a668c1Aa0907484dfA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1733078755941395000, Bid count: 0
Account: 0x88ea751dd553aF0bE63Ee5B2292474865337ce16, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1965163911812752900, Bid count: 0
Account: 0x68B421F49ae3eF23620f9fC12bD7886c69d40b6f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1733023092655800600, Bid count: 0
