Total supply:  1000
############## Round 0 ##############
Account: 0xa4FB506CE3e4Db66BCbA6CE11a106b5AD4C923DD, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2588825935236331400, Bid count: 0
Account: 0x990d8747BEDC3293cbcA19eDC78048fb482a5484, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3631673624296788600, Bid count: 0
Account: 0x2455F004f3B07BDF14F4705612175b84E7f69A79, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3452484294381692500, Bid count: 0
Account: 0x458fec7cc0A5192f7E7F4f329ca700A625Ae93aE, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2847269565014340000, Bid count: 0
Account: 0xFDd5aC2cF74BD7C1D91bB69e0De9050C3f8EB422, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1618562074648266000, Bid count: 0
Account: 0xEb238743BB314C9Cb99692C170a232fa204F62bB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1677874552710244300, Bid count: 0
Account: 0x115e635d50049954D62dDa89A58E3219516FD8b7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1675936072216208400, Bid count: 0
Account: 0xbdE8bb25709B08986c83c79E32A19ee012462488, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1402135747239232600, Bid count: 0
Account: 0xD4E31d63259094Ea8b20d6bdC0d5136c96d762cb, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2635365111351696000, Bid count: 0
Account: 0x509975a696CBa36D019D030D7BE58C9D671936FC, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2618607929721400000, Bid count: 0
Account: 0x0Ae01B609419751E27F5c0715E76a3EC39112a9F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1259532526097515000, Bid count: 0
Account: 0x4348f3C1eF18259ded4A41a1540ee6D09423CFbC, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2316647473988606000, Bid count: 0
Account: 0xc8c531ED49f32915A124D32b594775D0E56Acf4A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2738566698939462000, Bid count: 0
Account: 0x67C524b96471aA6469f0EaeAd2629C3d264F58df, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1838138542775912500, Bid count: 0
Account: 0x00a4eD6c1873b3bBc64E6C0Db4b2B5209BCC5520, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4113926262337776000, Bid count: 0
Account: 0x5E0081cb2eca13312b032aFd0E839Ec3E9d40AF0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2535513433043473000, Bid count: 0
Account: 0xe13c58B48F7E834569D614C4B54071489D7FA0EA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 7142795077862946000, Bid count: 0
Account: 0x865CE59A892629AAf659ac5b358A79B3844CA077, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2143073897080229000, Bid count: 0
Account: 0x6698eD1030d3B0619E21E82aA8b8167Af807E69A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1634698025522945300, Bid count: 0
Account: 0x32FD3446A9e9b53473Abdc46896eF7a0684329fA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1668162453113146300, Bid count: 0
Account: 0xAB08c1DB58B524939919130f01Bb6d91b5B81823, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1815534083256202800, Bid count: 0
Account: 0x35567D4ad4c9b98927a5e6054692aB6EE2DA0b1C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2719589199334156800, Bid count: 0
