Total supply:  1000
############## Round 0 ##############
Account: 0xb6023f981Be67c6F545B45C8568b76E856C4edd5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2241442072633077000, Bid count: 0
Account: 0x5599B6916065A2Ff98782e8BcF404F098f5BD583, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2387387351709601400, Bid count: 0
Account: 0x8ACBa8D259c45FE074484e2424251141cFAc58E2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2028059207635901000, Bid count: 0
Account: 0xeA826D3CC5D8da9aEDC284219C8A24F76fE822a1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2381503712247018000, Bid count: 0
Account: 0x408a329D3d1E2F59b24A5305EFf10f8Ca8056a2f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3521117213392759700, Bid count: 0
Account: 0x10d026709c7b5893Bf611a81D1C6cdBf70e084FD, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 6014545843505642000, Bid count: 0
Account: 0x7256728b761AEefF8BdE3B8b7138E3713af69F21, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2536338730021232600, Bid count: 0
Account: 0x5f38E15859966E02c95e485374d9B017985dF4D2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2855950550594003300, Bid count: 0
Account: 0x3E5eAD656DE26Cc6c1eEF7ecF7f4Ade587D3f97e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2474325102638528200, Bid count: 0
Account: 0xE2d5E1Be2b395B3fB099C8fd6e07b3a6630C5986, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1323441214613279500, Bid count: 0
Account: 0xB29964681360afB57FF5029881BC101329C2162A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2845155011544568500, Bid count: 0
Account: 0x34721311bc3f0e0ae834FA94f70FCF254076C80b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1556525892983062300, Bid count: 0
Account: 0x42776E75CF07F1003C36D351FC5AbC84677e7e0a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3481417131794166700, Bid count: 0
Account: 0x2c05b7518Bedd5657FcCf2Eb45fdE178b6D920C8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2697366570179125000, Bid count: 0
Account: 0xBeD980B64A534c0D68d954c8f1158987A583a9FB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1421555091995110000, Bid count: 0
Account: 0xd7E0fE6651514820238F6eb90F9629c0788A007a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3166391085358767600, Bid count: 0
Account: 0xAe73541032d42F469977E5325AcD5e309BE8BA80, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3846598708734368700, Bid count: 0
Account: 0xfC120830A775C44a6Ae36F1DC7b9c01AEFfE32A2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2353047493266607000, Bid count: 0
Account: 0xDf8F50Edc59353616e769a5cC9bB5a8D856D790c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4646929226225374500, Bid count: 0
Account: 0x27f8930EB7e512b8b2ef1D0dCcBb0136B814229E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2797488036062182500, Bid count: 0
Account: 0x2c1f6f41B63E03576716afB2297E03778eF34aac, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1721954434346409300, Bid count: 0
Account: 0xbB1232895820F9B4a7d19F2228B12F83426caa3a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2376521920607030500, Bid count: 0
Account: 0x719C9CFB16e35AA0a682eE161398e477Bfb2aa9a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2455767062449613300, Bid count: 0
Account: 0xB45A8D7498bD7B5f2eE46fc6817C352B37Bf871a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2528439413049408600, Bid count: 0
Account: 0x0B9F0E7C7525D92D5ABf775410D04dE04204f525, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2521153918160549300, Bid count: 0
Account: 0x6A3b77A7fbDC5EBD79ebFBa6c88649896C683d81, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3823399691317131000, Bid count: 0
Account: 0xB41f37Ed1348Ab39596910e3ADD6869B2eA777bf, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2289036653500246000, Bid count: 0
Account: 0xf34c43A78c14EB6468484919814fB82C06bC649b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2865706046843956600, Bid count: 0
Account: 0x02F3FB9Ff1991466e978af2A947921B8e8CC6E69, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3031117172215462000, Bid count: 0
Account: 0x3aF5AA8413C00a034bCA528509f5F3536a78f23D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1693041414151486700, Bid count: 0
Account: 0xAC6110464D6B9A722f66F041F90157628FdDDA16, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1901094181089942200, Bid count: 0
Account: 0x67E9d05e5Ed55fA34921Ba46DB453118771b8a25, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1302222703768890500, Bid count: 0
Account: 0x97d91EE43AbfEa04d8484ccD26C0A0F2e6eE42EB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2415324639907080200, Bid count: 0
Account: 0xD8b1f948FbE96D8e11c268570f81CcE975a0A7ce, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3067270971777370300, Bid count: 0
Account: 0x359011afD9cff53Ee09F21e1a5084b02b27eE1Cb, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2031039184528077000, Bid count: 0
Account: 0x4694E03A4FB41147E1241f893EDf297F28908580, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1612269259999466400, Bid count: 0
Account: 0x0373b2Ff38D145b8E65Debd8397E904C656a9a2a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3521809219770009500, Bid count: 0
Account: 0x52711f538407ea82D7119088EE236460A0FBF01F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2016119625910939000, Bid count: 0
Account: 0x23e9E5BBfbc0c497f1884695d8473776f49ED9b2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2210915726875832400, Bid count: 0
Account: 0xdd6A42eFbdec9B179CF0661645cbb183F8B0c98D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2065250184916668500, Bid count: 0
Account: 0x74fc7fC37A4DC860c41B58fE87160ca7b211E73e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2070251372836958500, Bid count: 0
Account: 0xD7f5df12798A53C23eaB7950CF061B52ebd1F331, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1469816552423254000, Bid count: 0
Account: 0xFe7f2eAc21105B2c55C724151bC127a0cf10de45, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2860919833408774400, Bid count: 0
Account: 0x3B1A44aE734887688aa66Ea9B6Ed8C13dc0fa813, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2368695316154697700, Bid count: 0
Account: 0x1fc17271a1F5e79b09400E10705f56672Cb38014, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2043265376512914000, Bid count: 0
Account: 0x0B61c8aa5bE037b97Cf1465839c4BA41E8ED4262, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2785361739824719000, Bid count: 0
Account: 0x78C8e2D7E3978ad129F3d45B85167DC8Bfe2a66b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2480417973102313500, Bid count: 0
Account: 0xb7C0Cc4Bf4e8ac3b774175De829687beF85dA19c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2259994061792050400, Bid count: 0
Account: 0x5B312EFe572a3AF9d9D67d1E7Ed246c72187D9F8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2887216718650877500, Bid count: 0
Account: 0x453c672c85ff3befB974fEc90Df12fe194dD86f6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3650740327392007000, Bid count: 0
Account: 0x5BF1F07f2FeD1bff8AaB79a983589EE2A4b58b1c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2017780165393729000, Bid count: 0
Account: 0x033319e084CBcc13462000423C8daFc7b702fcfF, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2464383974915574000, Bid count: 0
Account: 0xeaC8B7930660210fb54da4EAe6D5703FeF2b7EF2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1760600895789594400, Bid count: 0
Account: 0xb54cf036F8E2A5f4324fB8f056d00efA3C1a56e3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2563670795785898600, Bid count: 0
Account: 0x3d3cc282C84C399d5Db97FA5cF3397Fd88001f04, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1447506925164471000, Bid count: 0
Account: 0x476AC07E6a94Bd0DD878d564ECF42E4395aF421E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3471626633413311700, Bid count: 0
Account: 0xf5616DbB7fEDdBe6a23910425b9Fa32DEe4153b3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2791817040739577000, Bid count: 0
Account: 0x5760E73ee8fA157329dB6eC10A806c121ad85F52, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2790541947971924700, Bid count: 0
Account: 0x5A2E3E85192a6e97BD3D3b4e3A66CB7448Db9b5F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3061218855641668000, Bid count: 0
Account: 0x4fF9Dc77d6d7013174fAe877cEEcEc3E08032110, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1830794718751054700, Bid count: 0
