Total supply:  1000
############## Round 0 ##############
Account: 0x4d625580A2E6500D5d14d01De4B3Eb9B9a055a92, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 5287853644494630000, Bid count: 0
Account: 0x38b43a982339217178fe1da4Ffd9B049a7eBBBe1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2746779641592896700, Bid count: 0
Account: 0x3e64BB80bc1Fea6177C26Aa6996540eFDb0Ae645, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2225438157018218000, Bid count: 0
Account: 0x54011Ff1026c50C49659BD551b054864AF2a43F6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1613689179188261500, Bid count: 0
Account: 0x4305Da94F1933152a0700C62E76e0Ee605370053, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2500209221872948000, Bid count: 0
Account: 0xE19422D61fDBCbdCb35BF5b50fC07fDc27328Ad3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2635128671918375000, Bid count: 0
Account: 0xe20d5d2e7d80e83bEA6AcACAB1105f02EdA9baA0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3232994665869712400, Bid count: 0
Account: 0xBaa858a1c566e16b2ba4eda1805E867E0BccB5f8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3535001169946865300, Bid count: 0
Account: 0x45C99FFcCB394a242ae0C65CB3d9d7AE387b23e5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1753609108548696400, Bid count: 0
Account: 0xdB935c7840Fc43D38e0274742722D229BdC0EFd5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2306475090396659800, Bid count: 0
Account: 0x6CCcB830138EC5b41Cd58E7231d0B397278EfBD0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3830976222468985000, Bid count: 0
Account: 0x647D51Be1Ab4C735E620A341049139E74BE67310, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2180821072960428700, Bid count: 0
Account: 0x1dDff00EbA58ee810b902C21fC0CBfEDD1569648, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3582565121084036400, Bid count: 0
Account: 0xC4C34C9781Df67074C865E412dd640f2Ac917B3b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1987735871215173400, Bid count: 0
Account: 0x2A67562DD2cb422eb0cc599CABcB6a5F1BA9B038, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2665110590653052000, Bid count: 0
Account: 0x890Db8906021C37F7F032772B681d6f8439a12cB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1715141444362065400, Bid count: 0
Account: 0xE8f76F97704424cF5e8617Ad8D4425D880C84B49, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2915961665862742000, Bid count: 0
Account: 0x88d8A90aE839dfA28365D0Bd9Ee21B2024F204e4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1512149061954752000, Bid count: 0
Account: 0xE6fB131F3542a4F4468Df686AEe44256a1666759, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2171951794819202000, Bid count: 0
