Total supply:  1000
############## Round 0 ##############
Account: 0xDA700dbD075391f4d62751e422De2c9a8997664b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2325864069525821700, Bid count: 0
Account: 0xC9ADe7859Ac91df2786250C4854364a7B751293d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2243156671723790300, Bid count: 0
Account: 0xC2710E77076Ef7A4661B87E5E46ac44484f4744A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1617296051545025200, Bid count: 0
Account: 0xa012BF651FD03A3D46E471bBD0C5a53B60C05c4E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3831429627747598800, Bid count: 0
Account: 0x0D4EF163A027325487F1A916C59475c50FB31988, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3363261375789937000, Bid count: 0
Account: 0xe2f9dA935784EC0B80D02d59346F52dB7617Fc84, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2885966197629312700, Bid count: 0
Account: 0x4886724EE6952A98DeD1FFac57a411e4Ac82aF3F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1293107272997459800, Bid count: 0
Account: 0x15e1Cf4Fdf4a8fce1e3b5DCA16A2D754d08aa583, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3160675786170368300, Bid count: 0
Account: 0x5B12f3706193bA441fb25cd45F88A753ADA38aCD, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3485068763429588000, Bid count: 0
Account: 0x82130Ef4B4CC62bC3D177db7E89c6958cF1C3A6d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1460632329037562500, Bid count: 0
Account: 0xd0aCD41Fe62c17Ef16a5cA861F21c6a69AFB9435, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1901947309125210600, Bid count: 0
Account: 0x97C52930B629129B72D16092311d65367f629550, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2628567411145042300, Bid count: 0
Account: 0x5A73E6A8b3c3D2A5e261f32d82936d1553CE9EA1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3151840509890744700, Bid count: 0
Account: 0x17c6d2fDb350bEd0ce275F1bf7EcE67d1A9a87D7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2654156669211203300, Bid count: 0
Account: 0x538CD6F46FDd25813505156DDF5AfCb8b76b7e9f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1387364990345305000, Bid count: 0
Account: 0xce2b8159517370A4A2CCdCB94d97Bb1234EdbFde, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2512153598304825000, Bid count: 0
Account: 0xB3e6157929b922fC20050f23199d7414F38BCF6d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3407107989529006600, Bid count: 0
Account: 0x71f231598E053c2e9020dcD98ebAf81Db8Db6cd0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3357351919805505000, Bid count: 0
Account: 0x59cF65d92398E5A54f59f483912b60dA3e9A980e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2201888921165152400, Bid count: 0
Account: 0xFFD6F6D36577E07Bc03c73769279CDaCc19229be, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2712876432338194000, Bid count: 0
Account: 0x7576f3E2284921252f977B565020275692d7D3e9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1577535705841240700, Bid count: 0
Account: 0x9Fd52edf283f04ed39926AE04665967C84275634, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2926662503901994200, Bid count: 0
Account: 0xA9ef1e1a376A34c150Af9e44F2552086719D6291, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2774055917422489700, Bid count: 0
Account: 0x76687aAB11e34619Aa9D4020A48e9366726875EE, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1396836718150287200, Bid count: 0
Account: 0x1bDd8Fa8eE026c57dFa26A0fa3E10c86e6B00Acd, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3535065924429353400, Bid count: 0
Account: 0x91BC4634DeC5992459Bdb239ba85140821e6FFdB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1436894714403252000, Bid count: 0
Account: 0x24ed300f4EF87877606D3f3FcdeF59FD3a447931, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3226924977335583500, Bid count: 0
Account: 0x543F1Fe928359c08DaA76BC6D2D0769e422b0F49, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2427229360121027000, Bid count: 0
Account: 0xcF5b8DC78EB0c9a111a83Ba882Cc8B14982962e2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2947449468973867500, Bid count: 0
Account: 0x1257b919E7Cd01BC2c2AA909cfdbEeC511770C21, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1855900589871186700, Bid count: 0
Account: 0x8893E3fCB80C2004B108e2D280214199451a3bf3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3825163265653909000, Bid count: 0
Account: 0x37f1AbD830890ED0B0f8909FF9BddE9aC0c9f025, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2659106682286824000, Bid count: 0
Account: 0xa95aB15B85C0927cfe2aC5Ac7ad3c37A9C14784c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2414525949654124000, Bid count: 0
Account: 0x0988eF14666b9d37dA618C4B8efFACA1C4BbA156, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1673569706528700700, Bid count: 0
Account: 0x113DbC04E85b0Af0051785b4CC6e1192b6fFB115, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3498080288911511500, Bid count: 0
Account: 0x76799756973b07ED41FE187A978D25d7D03449F4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3576961087902853700, Bid count: 0
Account: 0x8A53763F33b84BCCf4c2F1701c24da1C0B109321, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1832347357176422600, Bid count: 0
Account: 0x7A5bE529f72443EE076b316b75d536b72227f919, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2929469899331855300, Bid count: 0
Account: 0xDCA89dA15d43431B10be833547D24DDFB556Da66, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2459258342940737300, Bid count: 0
Account: 0x4aa87E862079b305097935Efe31F3Cbe86DFFc9d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2038184951943240000, Bid count: 0
Account: 0x9079a633a9de7aD8Fa50e80d4178803F8fB9f5C4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1907753935463632000, Bid count: 0
Account: 0xd701086F57BDc6Fba52416EFb9CB40f5846F2DA3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2735327495233873800, Bid count: 0
Account: 0xBBC24c49ebFB3a52FcD77d1B3c0949b31850e646, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2944580759978967000, Bid count: 0
Account: 0x9Fab270165e926C26c265BC3e5Aea9ff81B38E31, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2502398021203392300, Bid count: 0
Account: 0xe770d249Ff041AC79D25beb1EAceacEd8cf99a35, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1600247184890348000, Bid count: 0
Account: 0x674a26E52468B015eDC465937CF7b920Ee8Dc896, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2583647373418486400, Bid count: 0
Account: 0xbE3B45dCf51126b442fa11895Fe268ec08F0227f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3632599484534419600, Bid count: 0
Account: 0x74Ac34CF64E492B2BCA0a16425528DA1fec3ECf5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1587826554676786000, Bid count: 0
Account: 0x70cf7644F630300F65e9107Baa1e2020E7BBE09b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1391512920363010800, Bid count: 0
Account: 0x4E169436B0EcbaDf7E87f37A198EF51e92f9c37a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2880170313203418400, Bid count: 0
