Total supply:  1000
############## Round 0 ##############
Account: 0xcAcA88Af5Aa1c9a6955901fb2D0fB87b455252d5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3048988816871528000, Bid count: 0
Account: 0x44F6d5d87Bc9CAA7750f6f86D38f8E80F27E85c9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2245512712292353700, Bid count: 0
Account: 0xFe989C22B6db3806A92337bB430a98C7aa00A578, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3654470259470133000, Bid count: 0
Account: 0x0150B44f22EE52B854AcCD98dee6E4dcafd99a76, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1832943212305411000, Bid count: 0
Account: 0xCCDA3Ac193c6773843F9D5ac9A54347f428cfe82, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1397557778585677400, Bid count: 0
Account: 0x0b8De0AFDE969019808397c9E60e46F26f39633e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 5909807341097911500, Bid count: 0
Account: 0x1Af1a300a1c5CB8c85DEC0bEF21edCABDAa25eA0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1556009821863793400, Bid count: 0
Account: 0x4600FE21c6194d3161EF149077dA6777f7D9E6ef, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2039724777670050000, Bid count: 0
Account: 0xA6403803DdB1154E680C5db5cAB316886491880E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2049020793598748000, Bid count: 0
Account: 0x6b0d777EdEeABFEFbE8a71Ae3162Fe320d48618c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2206974985948675400, Bid count: 0
Account: 0xdB9c4779d95Ed160DB68D8B42c2f4c695158202C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2051029258078143500, Bid count: 0
Account: 0x732094191879A3ECefFEf216Dd3A32Ba72659222, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3220252426499977000, Bid count: 0
Account: 0x167bEaEe7dC6D01C199a936Bc06b2ee009391721, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2100853574768517500, Bid count: 0
Account: 0xc746fBcff0E804FB86F5138E96a5e9Cf66847FAf, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1464816173255415500, Bid count: 0
Account: 0x6F4d1821816F531D5dC6990Ce3c9eaaec02fb818, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2901278398408056300, Bid count: 0
Account: 0xB26b20beED8Eba26feAeEB98372De997F08082Fb, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3191335389183380200, Bid count: 0
Account: 0x91F01bCeA661aa344273B3A5bB41c4977807fb50, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3806257617290358400, Bid count: 0
Account: 0xba315262157bd5ffa33467bC74c5dD67113bb1a2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1154204031431757400, Bid count: 0
Account: 0x7Dc1726F7BfdfFE40a6Ad8bA1c59fE04e0239F01, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2382830489568057400, Bid count: 0
Account: 0xA72FF27011f8233535Cb94C6bD2549c4A4f2be6C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2525128023581320500, Bid count: 0
Account: 0xFe9fA0ADf48EFfb8E214cbc493E84C0610Bc90A2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3159905192483669600, Bid count: 0
Account: 0xf46bd5Ab3F36292d3D5769f1Bf4A9f1611A83448, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2439148902996021400, Bid count: 0
Account: 0x3b643a1a3a40C1d2930DD62EB889C9e892B819E9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2062486766063766000, Bid count: 0
Account: 0xB2365252d62F7266b536e63aFA01712E58528172, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2716164344007981700, Bid count: 0
Account: 0x1bE92fEe22DdBC9F5C41D61dE2d5E651862e3A80, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3623137509282468500, Bid count: 0
Account: 0x436931b5F5c4251070bD3469C6Bf0314eCf2E54a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3362662465222726000, Bid count: 0
Account: 0x5CAE528291f6510A9166808139903fdf045fd773, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3002575565285902700, Bid count: 0
Account: 0xF26d659267766A2b4211F4f8Abc5ceFdC990dcA6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3611183637577801300, Bid count: 0
Account: 0xAc8bC7e9a3c256d7073ff771809C3636B5B11c83, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2095733776193184000, Bid count: 0
Account: 0xAa4c06A501bC5f669ed85E78EaFc0a837b6101B2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 5013923147727825000, Bid count: 0
Account: 0x3734CbBfFBF061771a2d14fF3DB62D4F669269D8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 6198071515059989000, Bid count: 0
Account: 0xdbaa567FeE622dFBC65B7CA2b6aA671cC06656b2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3207324656017357000, Bid count: 0
Account: 0x0847bB7F0Ee4D30491d43d9ea959776DaEb53101, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1848838670759602000, Bid count: 0
Account: 0x6f603d7292bA0BbCf32a584f75b81Dc1b79E17fb, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1488484746992413600, Bid count: 0
Account: 0xF554877D348eD9CDC57Ec5BFAf0D1587b1767a51, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2411767252720790700, Bid count: 0
Account: 0xE9C1927729ab14686EaaEbe5C37cf6AdAEf8E3EA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3059809323125696400, Bid count: 0
Account: 0xf26A71cABEC01093504869AA7Dc1f6161628cda7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3243636335778454300, Bid count: 0
Account: 0x0066d248A03DeD084D73DC2AD7440E811c786Fc9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3062730101574694000, Bid count: 0
Account: 0xE4D0FeE6B31C8c52354193208A6F7eD8e625db3f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2042722383096324000, Bid count: 0
Account: 0xeE4d804614658E4e63965252603D15bdBC147E00, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2732892237383916600, Bid count: 0
Account: 0xE23dDd1b80214fE1BE1d01Ba7De01100Fe46f677, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1840999299417707300, Bid count: 0
Account: 0x8dB6CD344b854C73BdEf3E2505e808854280084c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1388784051588784600, Bid count: 0
Account: 0x4aD65fEa404bDF8BE454b24a021396B88ee904E1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2182518161846550300, Bid count: 0
