Total supply:  1000
############## Round 0 ##############
Account: 0xe84d5AeF1d9f0C6dba24a33733B4a076807A7104, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1961702648997644100, Bid count: 0
Account: 0x96535661087645D44DD67037Af0f99538ab6dfd1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2774582387885062000, Bid count: 0
Account: 0xda9DF602Dc7F3597003d8908dd52DEF82dD63238, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1899938529955356000, Bid count: 0
Account: 0xB3650D114Bd5Aa9248267C9022096a8b3e619e1E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2880422120676635000, Bid count: 0
Account: 0x13879cbd1FDd1D08b72Db8b118f3e42cE34193DB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2286062291770504000, Bid count: 0
Account: 0xE77c11Fb493Be75E409e1B51E55Ae8e7997d91d1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 6168073560475416000, Bid count: 0
Account: 0x30013f8722C45928317C4dd9D7812Ab05414725b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2177319327357504400, Bid count: 0
Account: 0x14D9113E7658F0af24Fb4C653911991087FdaE8B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2635624136035663000, Bid count: 0
Account: 0x531B1E6f9e744fC6CA7d5cf35d7481F33136Cbd6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1777783804415179500, Bid count: 0
Account: 0x36Ca6CD92600b98Aa949b2190Af0fF3f57384419, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2232476551993520400, Bid count: 0
Account: 0x926EC7727B2721115A0eC423E85AC938d48e55C3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3467257206025194000, Bid count: 0
Account: 0x9D69fB360679fcDDC24eE6c73bA3916372F85ae3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2427615778816336000, Bid count: 0
Account: 0x5270Ae7b27ded2A18a79d1475D88c57e3d586b9d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1752703733494596500, Bid count: 0
Account: 0x0c60A658d1E67624c19B864F3Aa1D4CC618cc36C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2112605881865322400, Bid count: 0
Account: 0xda28cb749ad2c663fc586BA399d1f44062111609, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2933792791818276700, Bid count: 0
Account: 0x51775D7DFf265bfFf47556970b611c1115b361B9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1708395663666290000, Bid count: 0
Account: 0x1055ea2f2c4Be54Ff11C1f4187Af2385f3d8Bc12, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1471959002199026300, Bid count: 0
Account: 0xdf176cfC9cC2492e2C6C9AeD75103a27109DB248, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2721908783155606000, Bid count: 0
Account: 0xDe3781Af1D1ef6D03B2d628600073318c8321E5F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2009219467076617000, Bid count: 0
Account: 0xd2d598271f3B52dE244BF0F050D5082Ce2203bAb, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1900696605272630400, Bid count: 0
Account: 0x5D9Fa9012Ed5348fF49329D0B1d4bFBF18c225da, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1954914948310588800, Bid count: 0
Account: 0x8b9518d2DE9793045E7a52d2A287fd8F8E220799, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1390594601077917000, Bid count: 0
Account: 0xe58c1479b55b61aD00abC41D8Dc9602497C682c1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2502350735607014700, Bid count: 0
Account: 0x29c73Cddf05b3a2420c044ECB02166f25D455001, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1255512595076416000, Bid count: 0
Account: 0xc0Dff8178551E1c733dB2dce0761Bae11413393B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3295026179114037400, Bid count: 0
Account: 0x907B1Bfb0D3fd53309EcA6D23e077f57B753f4b8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3031928741223051600, Bid count: 0
Account: 0x1a6a3b3235b5d4c4A719195F8Ef01d1613d90C21, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2587682747100813300, Bid count: 0
Account: 0xCc53f4fe72C6d4D7bA1e0Dfd59CA3f628c0ab2a6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1743537538137318200, Bid count: 0
Account: 0x2AFc949b68c099AedEc68Aab60A5D82Cb568C862, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2230807342095142000, Bid count: 0
Account: 0x426d0Bc1eBe4C8cd81c711e34C961450E9fc093b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2357461221732439800, Bid count: 0
Account: 0x8143e65d81Dd51225BB18d624F68b48A3494B547, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2645860593384942400, Bid count: 0
Account: 0xc6Eaa32bdDA7a18C09b60d45C03BbB3615bbb9B1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1616183685842600000, Bid count: 0
Account: 0x9F6E8d982B62B5b8eead5872f46340f4DcE56A77, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1841984574341338300, Bid count: 0
Account: 0xE77658FaFc557873256e456397402a0C3e85Fa97, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2055291721971311600, Bid count: 0
Account: 0xe1D2f62e4D19d1B99BC8Ef09a6A2d099a64b7c6a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2887148205581269000, Bid count: 0
Account: 0x3D257619dA87dbCb6547444CabA94B6260869973, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2961701653165621300, Bid count: 0
Account: 0xDc34f31c9f16d8C4Ad9677AfA24C9a5E64aaf5A3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3148949183302206300, Bid count: 0
Account: 0xD1D22Bc4896D3bF1d45cDA81E89faCf3226af84b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2571220829988835300, Bid count: 0
Account: 0xa38E8B028c00E58D8015758C1B3a1DA859515F18, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2248280114217083000, Bid count: 0
Account: 0x31d3b271D5BA709745bFAa818dFd05daabEf0120, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1785014253204600300, Bid count: 0
Account: 0x802E89cF58B07704D4189aC813d1cc605017B493, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2385249654022099500, Bid count: 0
Account: 0xa5A4c0e6e19AeE1AdED4b742e49a24d52E77d94C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2385577907627240000, Bid count: 0
Account: 0xCB05AcDC64868CB7Bcb720770Db59242beA06412, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3837469986390906800, Bid count: 0
Account: 0x8F06067d34De0447CF96643A7B594e5f6188Ff1f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2141366753332097700, Bid count: 0
Account: 0x35DDA802cB07b6472B54648C8150D042734c18F3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4130028628848398500, Bid count: 0
Account: 0x73e7a5B3523Ec9679073Ecd89481922642894e0e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2796562367848347000, Bid count: 0
Account: 0xc4a77472e702AeE7652b1F56c757D1f6A5C490Ed, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2030422774117064400, Bid count: 0
Account: 0xcc7Cd185a5f9AD099e5EFB8B65E096A452e5DA70, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3318035126930209500, Bid count: 0
Account: 0x27C51d742dd568Bc66D6a62E83dF5354d0BBAa57, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2170537666727486000, Bid count: 0
Account: 0x91930472DAb1d36cFd227d14c8D85B6ad7392F4e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2053167883299474600, Bid count: 0
Account: 0xcBDd7bcFBfD862d6Ac172ebc6517dD3224E684A9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1418317208675775000, Bid count: 0
Account: 0x197d8362ab0012DE19b269fCadA3f130186B5455, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2241022821031524000, Bid count: 0
