Total supply:  1000
############## Round 0 ##############
Account: 0x1363149C8307C1aD0a18C67451ae231BCb3c975F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2612862741384562400, Bid count: 0
Account: 0xA93F1cD81E4e8A816d895f4F43B984146f26B56e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2656414163732830000, Bid count: 0
Account: 0x0098E8429a68a8E67Adf96F26c72eD1c318E0Ac0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1678282457486352200, Bid count: 0
Account: 0x24be1832994A7271AD3c592CE5bbb6C74B10456E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1845881404371164000, Bid count: 0
Account: 0xABfCB9C5304bB918d02835829018533d82C9B15d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1690787825295357600, Bid count: 0
Account: 0xAD50AB4C53D0EC02E11D86acE45468C020C4E2AD, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2914984491218068500, Bid count: 0
Account: 0x0ac432D63665c937d5FA50fd6fa6Bc68336cf9E2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2740421219583815000, Bid count: 0
Account: 0x073d6bfad4DD8077E41EA18990858a317CBF2f08, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2526117947159664000, Bid count: 0
Account: 0x8f0F342DBB4eB352F1b2F4cBBc5E7EF279FADaa3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2465819760999143500, Bid count: 0
Account: 0x87BF9daCcdaE2315365dc66abF1C9E87A4500A6a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2816028851509339000, Bid count: 0
Account: 0x388d5C6e7D29C68f2B402b1de21042Bd1469fD82, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2544132716165907700, Bid count: 0
Account: 0xEd3963c1aba0eB51C9470FC2649fDaF1Bb1154d4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2805538266441565000, Bid count: 0
Account: 0xB2e09f41D289D1A0DD4A733596B7b54778164D62, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4767362556873598000, Bid count: 0
Account: 0xBAF1331FDc8EF86f3c4B84958cf1df626d88ca51, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2412800340580836300, Bid count: 0
Account: 0x9DC16A69cB72e044F9bB1EF03475e6c848fb962f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2101700362544140000, Bid count: 0
Account: 0x343Da1f52a6A7Fe144e4a91C0F0ed4A2565CBA56, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1949480143963327800, Bid count: 0
Account: 0xB2227546a8E1876e96e31Cd2EBAdA174cD5abdA3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2399213521074383200, Bid count: 0
Account: 0xDA4c86120f52aacd8311A486b8A20B70d556Edb1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3728625514621114700, Bid count: 0
Account: 0xC3d270f8A2398163597E296f54729128Bc3899eF, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2205788292673801000, Bid count: 0
Account: 0xd9e771688b0D5c14F93eFE5369B8486eFd85957A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1869345259428204000, Bid count: 0
Account: 0x6e3Ce655a7Df07420df1d575F10C6386b8BE3f0f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1682118464961936500, Bid count: 0
Account: 0xd7eB31B31286e9c84Cc5b6ca6A3cEE32b7C82140, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2538852070183067000, Bid count: 0
Account: 0x95699916596c12ecC0a104814F93B60e86bbCc31, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2436442633506649400, Bid count: 0
Account: 0xeBdef7289D3D6BF2Ab16116a9E00de7077B6146f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1537553564468295200, Bid count: 0
Account: 0xa767EC489caBA03Ef960884121081472102B4a3B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1226303399705339600, Bid count: 0
Account: 0x53Ee1770555473E663B8AdbF2b00a9994c021107, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3552054525033027800, Bid count: 0
Account: 0xd853882A5d0D328E701F87158DEb7cDafc249362, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3137129903673275600, Bid count: 0
Account: 0x3EDfF8Eda2Ecc337Dc7775b2ACD033eE3031F8f1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1869555862287816600, Bid count: 0
Account: 0x3EC86f82cc295A865781d7E71DabD56538ae25B1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1957483603061768400, Bid count: 0
Account: 0x08aE75F1Ef256EB3BDE6f8801aee43d656603056, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2039091912371076000, Bid count: 0
Account: 0x96211F24199356F77e6094fcad1125e8e8f118AA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1939918982226337400, Bid count: 0
Account: 0xad1031bA854Ff3202815d7dd13e2A89938d803C5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2309654386216307000, Bid count: 0
Account: 0xdDB9f07152F30c681230F3454Cc81058Ec78D1F6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2369794807977486000, Bid count: 0
Account: 0xcF838E261ad68f95F1834f692dC259a9618d86C7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3728131631705416300, Bid count: 0
Account: 0xF9ecCd1DB54c447dceAEA9a6069F26221c2Cb0Aa, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2532072708945251000, Bid count: 0
Account: 0x1A4352B9c7Ea18f2A69F9b7D1E45963dabA18006, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1784385657804077800, Bid count: 0
Account: 0x90975315Da3666023641786968bE2C344Ec225d9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1969010908289973600, Bid count: 0
Account: 0x9fa3A8Af24Bc413da6744723B15f8Bd1993C6ADD, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1449757354524131800, Bid count: 0
Account: 0x5Fd60340Df08F653cDc02CC9FC68595ebA591dCa, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2248582069113574300, Bid count: 0
Account: 0x739bC94B67a886f29cc8b5f24b058660de81a0cB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3367347699856399000, Bid count: 0
Account: 0x249c03CE03b0f5D113902f29835C2898c98a008C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2661714433172330400, Bid count: 0
Account: 0xD02e6d00b63F6e0041d72417e4a89Eb38e50A899, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4971170115563980500, Bid count: 0
Account: 0x16aEa606eBD2B57205954960f54036d85E55DFF5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1442720793293087900, Bid count: 0
Account: 0x8A20a4FED3D1943Cbe60416eFf99a7F258F58389, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2121487959078565000, Bid count: 0
Account: 0x5D8caee98d11445286dbd0fB96640Dbe0cecFC20, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2791004250128788000, Bid count: 0
Account: 0x74d81a60c6B3c4Bf2B17D134d4B9cd0b88339183, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1701517871569404200, Bid count: 0
Account: 0xe56Eef640BDB1d875228C0B5BB2020b9C08039de, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2912289067852397400, Bid count: 0
